Date,Open,High,Low,Close,Adj Close,Volume
4/27/2015,132.309998,133.130005,131.149994,132.649994,122.072395,96954200
4/28/2015,134.460007,134.539993,129.570007,130.559998,120.149078,118924000
4/29/2015,130.160004,131.589996,128.300003,128.639999,118.382187,63386100
4/30/2015,128.639999,128.639999,124.580002,125.150002,115.170479,83195400
5/1/2015,126.099998,130.130005,125.300003,128.949997,118.667458,58512600
5/4/2015,129.5,130.570007,128.259995,128.699997,118.437393,50988300
5/5/2015,128.149994,128.449997,125.779999,125.800003,115.768646,49271400
5/6/2015,126.559998,126.75,123.360001,125.010002,115.041649,72141000
5/7/2015,124.769997,126.080002,124.019997,125.260002,115.753204,43940900
5/8/2015,126.68,127.620003,126.110001,127.620003,117.93409,55550400
5/11/2015,127.389999,127.559998,125.629997,126.32,116.73275,42035800
5/12/2015,125.599998,126.879997,124.82,125.870003,116.316917,48160000
5/13/2015,126.150002,127.190002,125.870003,126.010002,116.446297,34694200
5/14/2015,127.410004,128.949997,127.160004,128.949997,119.163139,45203500
5/15/2015,129.070007,129.490005,128.210007,128.770004,118.996811,38208000
5/18/2015,128.380005,130.720001,128.360001,130.190002,120.309013,50882900
5/19/2015,130.690002,130.880005,129.639999,130.070007,120.198143,44633200
5/20/2015,130,130.979996,129.339996,130.059998,120.188896,36454900
5/21/2015,130.070007,131.630005,129.830002,131.389999,121.417961,39730400
5/22/2015,131.600006,132.970001,131.399994,132.539993,122.480698,45596000
5/26/2015,132.600006,132.910004,129.119995,129.619995,119.782288,70697600
5/27/2015,130.339996,132.259995,130.050003,132.039993,122.018639,45833200
5/28/2015,131.860001,131.949997,131.100006,131.779999,121.778351,30733300
5/29/2015,131.229996,131.449997,129.899994,130.279999,120.392212,50884500
6/1/2015,130.279999,131.389999,130.050003,130.539993,120.632462,32112800
6/2/2015,129.860001,130.660004,129.320007,129.960007,120.096481,33667600
6/3/2015,130.660004,130.940002,129.899994,130.119995,120.244347,30983500
6/4/2015,129.580002,130.580002,128.910004,129.360001,119.542023,38450100
6/5/2015,129.5,129.690002,128.360001,128.649994,118.88591,35626800
6/8/2015,128.899994,129.210007,126.830002,127.800003,118.100426,52674800
6/9/2015,126.699997,128.080002,125.620003,127.419998,117.74926,56075400
6/10/2015,127.919998,129.339996,127.849998,128.880005,119.098442,39087300
6/11/2015,129.179993,130.179993,128.479996,128.589996,118.830467,35390900
6/12/2015,128.190002,128.330002,127.110001,127.169998,117.518242,36886200
6/15/2015,126.099998,127.239998,125.709999,126.919998,117.287209,43988900
6/16/2015,127.029999,127.849998,126.370003,127.599998,117.915596,31494100
6/17/2015,127.720001,127.879997,126.739998,127.300003,117.638382,32918100
6/18/2015,127.230003,128.309998,127.220001,127.879997,118.174355,35407200
6/19/2015,127.709999,127.82,126.400002,126.599998,116.991508,54716900
6/22/2015,127.489998,128.059998,127.080002,127.610001,117.92485,34039300
6/23/2015,127.480003,127.610001,126.879997,127.029999,117.38887,30268900
6/24/2015,127.209999,129.800003,127.120003,128.110001,118.386902,55280900
6/25/2015,128.860001,129.199997,127.5,127.5,117.823212,31938100
6/26/2015,127.669998,127.989998,126.510002,126.75,117.130112,44066800
6/29/2015,125.459999,126.470001,124.480003,124.529999,115.078606,49161400
6/30/2015,125.57,126.120003,124.860001,125.43,115.910301,44370700
7/1/2015,126.900002,126.940002,125.989998,126.599998,116.991508,30238800
7/2/2015,126.43,126.690002,125.769997,126.440002,116.843628,27211000
7/6/2015,124.940002,126.230003,124.849998,126,116.437035,28060400
7/7/2015,125.889999,126.150002,123.769997,125.690002,116.150574,46946800
7/8/2015,124.480003,124.639999,122.540001,122.57,113.267365,60761600
7/9/2015,123.849998,124.059998,119.220001,120.07,110.957115,78595000
